Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Feb 8 2013,7:30 pm,New Orleans Hornets,111,Atlanta Hawks,100,Box Score,,
Fri Feb 8 2013,7:00 pm,Los Angeles Lakers,100,Charlotte Bobcats,93,Box Score,,
Fri Feb 8 2013,7:30 pm,Orlando Magic,108,Cleveland Cavaliers,119,Box Score,,
Fri Feb 8 2013,7:30 pm,San Antonio Spurs,109,Detroit Pistons,119,Box Score,,
Fri Feb 8 2013,7:00 pm,Portland Trail Blazers,103,Houston Rockets,118,Box Score,,
Fri Feb 8 2013,7:00 pm,Toronto Raptors,100,Indiana Pacers,98,Box Score,OT,
Fri Feb 8 2013,7:00 pm,Golden State Warriors,93,Memphis Grizzlies,99,Box Score,,
Fri Feb 8 2013,8:00 pm,Los Angeles Clippers,89,Miami Heat,111,Box Score,,
Fri Feb 8 2013,7:00 pm,New York Knicks,100,Minnesota Timberwolves,94,Box Score,,
Fri Feb 8 2013,7:00 pm,Phoenix Suns,96,Oklahoma City Thunder,127,Box Score,,
Fri Feb 8 2013,8:30 pm,Chicago Bulls,93,Utah Jazz,89,Box Score,,
Fri Feb 8 2013,7:00 pm,Brooklyn Nets,74,Washington Wizards,89,Box Score,,
Sat Feb 9 2013,7:30 pm,Denver Nuggets,111,Cleveland Cavaliers,103,Box Score,,
Sat Feb 9 2013,7:30 pm,Golden State Warriors,91,Dallas Mavericks,116,Box Score,,
Sat Feb 9 2013,7:30 pm,Detroit Pistons,105,Milwaukee Bucks,100,Box Score,,
Sat Feb 9 2013,8:00 pm,Charlotte Bobcats,76,Philadelphia 76ers,87,Box Score,,
Sat Feb 9 2013,7:00 pm,Utah Jazz,109,Sacramento Kings,120,Box Score,,
Sun Feb 10 2013,6:00 pm,Denver Nuggets,114,Boston Celtics,118,Box Score,3OT,
Sun Feb 10 2013,8:00 pm,San Antonio Spurs,111,Brooklyn Nets,86,Box Score,,
Sun Feb 10 2013,5:00 pm,Minnesota Timberwolves,88,Memphis Grizzlies,105,Box Score,,
Sun Feb 10 2013,3:30 pm,Los Angeles Lakers,97,Miami Heat,107,Box Score,,
Sun Feb 10 2013,1:00 pm,Los Angeles Clippers,102,New York Knicks,88,Box Score,,
Sun Feb 10 2013,6:00 pm,Portland Trail Blazers,104,Orlando Magic,110,Box Score,,
Sun Feb 10 2013,6:00 pm,Oklahoma City Thunder,97,Phoenix Suns,69,Box Score,,
Sun Feb 10 2013,6:00 pm,Houston Rockets,111,Sacramento Kings,117,Box Score,,
Sun Feb 10 2013,6:00 pm,New Orleans Hornets,89,Toronto Raptors,102,Box Score,,
Mon Feb 11 2013,7:00 pm,Boston Celtics,91,Charlotte Bobcats,94,Box Score,,
Mon Feb 11 2013,7:00 pm,San Antonio Spurs,103,Chicago Bulls,89,Box Score,,
Mon Feb 11 2013,7:00 pm,Minnesota Timberwolves,100,Cleveland Cavaliers,92,Box Score,,
Mon Feb 11 2013,7:30 pm,Atlanta Hawks,105,Dallas Mavericks,101,Box Score,,
Mon Feb 11 2013,7:30 pm,New Orleans Hornets,105,Detroit Pistons,86,Box Score,,
Mon Feb 11 2013,7:00 pm,Brooklyn Nets,89,Indiana Pacers,84,Box Score,OT,
Mon Feb 11 2013,7:00 pm,Washington Wizards,102,Milwaukee Bucks,90,Box Score,,
Mon Feb 11 2013,7:00 pm,Los Angeles Clippers,107,Philadelphia 76ers,90,Box Score,,
Tue Feb 12 2013,7:30 pm,Houston Rockets,116,Golden State Warriors,107,Box Score,,
Tue Feb 12 2013,7:30 pm,Phoenix Suns,85,Los Angeles Lakers,91,Box Score,,
Tue Feb 12 2013,7:00 pm,Sacramento Kings,101,Memphis Grizzlies,108,Box Score,,
Tue Feb 12 2013,7:30 pm,Portland Trail Blazers,104,Miami Heat,117,Box Score,,
Tue Feb 12 2013,7:00 pm,Denver Nuggets,108,Toronto Raptors,109,Box Score,,
Tue Feb 12 2013,7:00 pm,Oklahoma City Thunder,94,Utah Jazz,109,Box Score,,
Wed Feb 13 2013,7:30 pm,Chicago Bulls,69,Boston Celtics,71,Box Score,,
Wed Feb 13 2013,7:30 pm,Denver Nuggets,108,Brooklyn Nets,119,Box Score,,
Wed Feb 13 2013,7:00 pm,San Antonio Spurs,96,Cleveland Cavaliers,95,Box Score,,
Wed Feb 13 2013,7:30 pm,Sacramento Kings,100,Dallas Mavericks,123,Box Score,,
Wed Feb 13 2013,7:30 pm,Washington Wizards,85,Detroit Pistons,96,Box Score,,
Wed Feb 13 2013,7:00 pm,Charlotte Bobcats,77,Indiana Pacers,101,Box Score,,
Wed Feb 13 2013,7:30 pm,Houston Rockets,96,Los Angeles Clippers,106,Box Score,,
Wed Feb 13 2013,7:00 pm,Philadelphia 76ers,92,Milwaukee Bucks,94,Box Score,,
Wed Feb 13 2013,7:00 pm,Utah Jazz,97,Minnesota Timberwolves,93,Box Score,,
Wed Feb 13 2013,7:00 pm,Portland Trail Blazers,63,New Orleans Hornets,99,Box Score,,
Wed Feb 13 2013,7:30 pm,Toronto Raptors,92,New York Knicks,88,Box Score,,
Wed Feb 13 2013,7:00 pm,Atlanta Hawks,108,Orlando Magic,76,Box Score,,
Thu Feb 14 2013,7:30 pm,Los Angeles Clippers,125,Los Angeles Lakers,101,Box Score,,
Thu Feb 14 2013,7:00 pm,Miami Heat,110,Oklahoma City Thunder,100,Box Score,,
Tue Feb 19 2013,7:30 pm,Milwaukee Bucks,111,Brooklyn Nets,113,Box Score,OT,
Tue Feb 19 2013,7:00 pm,Boston Celtics,90,Denver Nuggets,97,Box Score,,
Tue Feb 19 2013,7:30 pm,Memphis Grizzlies,105,Detroit Pistons,91,Box Score,,
Tue Feb 19 2013,7:00 pm,Chicago Bulls,96,New Orleans Hornets,87,Box Score,,
Tue Feb 19 2013,7:00 pm,Charlotte Bobcats,105,Orlando Magic,92,Box Score,,
Tue Feb 19 2013,7:00 pm,Phoenix Suns,102,Portland Trail Blazers,98,Box Score,,
Tue Feb 19 2013,7:00 pm,San Antonio Spurs,108,Sacramento Kings,102,Box Score,,
Tue Feb 19 2013,7:00 pm,Golden State Warriors,101,Utah Jazz,115,Box Score,,
Tue Feb 19 2013,7:00 pm,Toronto Raptors,96,Washington Wizards,88,Box Score,,
Wed Feb 20 2013,8:00 pm,Miami Heat,103,Atlanta Hawks,90,Box Score,,
Wed Feb 20 2013,7:00 pm,Detroit Pistons,105,Charlotte Bobcats,99,Box Score,,
Wed Feb 20 2013,8:00 pm,New Orleans Hornets,100,Cleveland Cavaliers,105,Box Score,,
Wed Feb 20 2013,7:30 pm,Orlando Magic,96,Dallas Mavericks,111,Box Score,,
Wed Feb 20 2013,7:30 pm,Phoenix Suns,98,Golden State Warriors,108,Box Score,,
Wed Feb 20 2013,7:00 pm,Oklahoma City Thunder,119,Houston Rockets,122,Box Score,,
Wed Feb 20 2013,7:00 pm,New York Knicks,91,Indiana Pacers,125,Box Score,,
Wed Feb 20 2013,7:30 pm,Boston Celtics,99,Los Angeles Lakers,113,Box Score,,
Wed Feb 20 2013,7:00 pm,Brooklyn Nets,97,Milwaukee Bucks,94,Box Score,,
Wed Feb 20 2013,7:00 pm,Philadelphia 76ers,87,Minnesota Timberwolves,94,Box Score,,
Wed Feb 20 2013,7:00 pm,Memphis Grizzlies,88,Toronto Raptors,82,Box Score,,
Thu Feb 21 2013,7:00 pm,Miami Heat,86,Chicago Bulls,67,Box Score,,
Thu Feb 21 2013,7:30 pm,San Antonio Spurs,116,Los Angeles Clippers,90,Box Score,,
Fri Feb 22 2013,7:30 pm,Sacramento Kings,108,Atlanta Hawks,122,Box Score,,
Fri Feb 22 2013,7:30 pm,Houston Rockets,106,Brooklyn Nets,96,Box Score,,
Fri Feb 22 2013,7:00 pm,Chicago Bulls,105,Charlotte Bobcats,75,Box Score,,
Fri Feb 22 2013,7:30 pm,San Antonio Spurs,101,Golden State Warriors,107,Box Score,OT,
Fri Feb 22 2013,7:00 pm,Detroit Pistons,82,Indiana Pacers,114,Box Score,,
Fri Feb 22 2013,7:30 pm,Portland Trail Blazers,107,Los Angeles Lakers,111,Box Score,,
Fri Feb 22 2013,7:00 pm,Orlando Magic,82,Memphis Grizzlies,88,Box Score,,
Fri Feb 22 2013,7:00 pm,Dallas Mavericks,104,New Orleans Hornets,100,Box Score,,
Fri Feb 22 2013,7:00 pm,Minnesota Timberwolves,111,Oklahoma City Thunder,127,Box Score,,
Fri Feb 22 2013,7:00 pm,Boston Celtics,113,Phoenix Suns,88,Box Score,,
Fri Feb 22 2013,7:00 pm,New York Knicks,98,Toronto Raptors,100,Box Score,,
Fri Feb 22 2013,7:00 pm,Denver Nuggets,113,Washington Wizards,119,Box Score,,
Sat Feb 23 2013,7:00 pm,Denver Nuggets,113,Charlotte Bobcats,99,Box Score,,
Sat Feb 23 2013,7:30 pm,Indiana Pacers,90,Detroit Pistons,72,Box Score,,
Sat Feb 23 2013,7:30 pm,Utah Jazz,94,Los Angeles Clippers,107,Box Score,,
Sat Feb 23 2013,7:30 pm,Atlanta Hawks,103,Milwaukee Bucks,102,Box Score,,
Sat Feb 23 2013,7:00 pm,Cleveland Cavaliers,118,Orlando Magic,94,Box Score,,
Sat Feb 23 2013,7:30 pm,Miami Heat,114,Philadelphia 76ers,90,Box Score,,
Sat Feb 23 2013,7:00 pm,Houston Rockets,103,Washington Wizards,105,Box Score,,
Sun Feb 24 2013,7:00 pm,Memphis Grizzlies,76,Brooklyn Nets,72,Box Score,,
Sun Feb 24 2013,12:00 pm,Los Angeles Lakers,103,Dallas Mavericks,99,Box Score,,
Sun Feb 24 2013,6:00 pm,Cleveland Cavaliers,105,Miami Heat,109,Box Score,,
Sun Feb 24 2013,2:30 pm,Golden State Warriors,100,Minnesota Timberwolves,99,Box Score,,
Sun Feb 24 2013,5:00 pm,Sacramento Kings,95,New Orleans Hornets,110,Box Score,,
Sun Feb 24 2013,7:00 pm,Philadelphia 76ers,93,New York Knicks,99,Box Score,,
Sun Feb 24 2013,8:30 pm,Chicago Bulls,72,Oklahoma City Thunder,102,Box Score,,
Sun Feb 24 2013,6:00 pm,San Antonio Spurs,97,Phoenix Suns,87,Box Score,,
Sun Feb 24 2013,6:00 pm,Boston Celtics,86,Portland Trail Blazers,92,Box Score,,
Mon Feb 25 2013,7:00 pm,Los Angeles Lakers,108,Denver Nuggets,119,Box Score,,
Mon Feb 25 2013,7:30 pm,Atlanta Hawks,114,Detroit Pistons,103,Box Score,,
Mon Feb 25 2013,7:00 pm,Washington Wizards,90,Toronto Raptors,84,Box Score,,
Mon Feb 25 2013,7:00 pm,Boston Celtics,110,Utah Jazz,107,Box Score,OT,
Tue Feb 26 2013,7:00 pm,Cleveland Cavaliers,101,Chicago Bulls,98,Box Score,,
Tue Feb 26 2013,7:30 pm,Milwaukee Bucks,95,Dallas Mavericks,90,Box Score,,
Tue Feb 26 2013,7:00 pm,Golden State Warriors,97,Indiana Pacers,108,Box Score,,
Tue Feb 26 2013,7:30 pm,Charlotte Bobcats,84,Los Angeles Clippers,106,Box Score,,
Tue Feb 26 2013,7:30 pm,Sacramento Kings,129,Miami Heat,141,Box Score,2OT,
Tue Feb 26 2013,7:00 pm,Brooklyn Nets,101,New Orleans Hornets,97,Box Score,,
Tue Feb 26 2013,7:00 pm,Orlando Magic,98,Philadelphia 76ers,84,Box Score,,
Tue Feb 26 2013,7:00 pm,Minnesota Timberwolves,83,Phoenix Suns,84,Box Score,OT,
Wed Feb 27 2013,7:00 pm,Toronto Raptors,92,Cleveland Cavaliers,103,Box Score,,
Wed Feb 27 2013,7:00 pm,Milwaukee Bucks,110,Houston Rockets,107,Box Score,,
Wed Feb 27 2013,7:00 pm,Dallas Mavericks,84,Memphis Grizzlies,90,Box Score,,
Wed Feb 27 2013,8:00 pm,Golden State Warriors,105,New York Knicks,109,Box Score,,
Wed Feb 27 2013,7:00 pm,New Orleans Hornets,74,Oklahoma City Thunder,119,Box Score,,
Wed Feb 27 2013,7:00 pm,Sacramento Kings,125,Orlando Magic,101,Box Score,,
Wed Feb 27 2013,7:30 pm,Denver Nuggets,111,Portland Trail Blazers,109,Box Score,,
Wed Feb 27 2013,7:30 pm,Phoenix Suns,105,San Antonio Spurs,101,Box Score,OT,
Wed Feb 27 2013,7:00 pm,Atlanta Hawks,102,Utah Jazz,91,Box Score,,
Wed Feb 27 2013,7:00 pm,Detroit Pistons,96,Washington Wizards,95,Box Score,,
Thu Feb 28 2013,7:00 pm,Philadelphia 76ers,82,Chicago Bulls,93,Box Score,,
Thu Feb 28 2013,7:00 pm,Los Angeles Clippers,99,Indiana Pacers,91,Box Score,,
Thu Feb 28 2013,7:30 pm,Minnesota Timberwolves,94,Los Angeles Lakers,116,Box Score,,
Fri Mar 1 2013,7:30 pm,Golden State Warriors,86,Boston Celtics,94,Box Score,,
Fri Mar 1 2013,8:00 pm,Dallas Mavericks,98,Brooklyn Nets,90,Box Score,,
Fri Mar 1 2013,7:30 pm,Los Angeles Clippers,105,Cleveland Cavaliers,89,Box Score,,
Fri Mar 1 2013,8:30 pm,Oklahoma City Thunder,103,Denver Nuggets,105,Box Score,,
Fri Mar 1 2013,8:00 pm,Memphis Grizzlies,91,Miami Heat,98,Box Score,,
Fri Mar 1 2013,7:00 pm,Detroit Pistons,95,New Orleans Hornets,100,Box Score,,
Fri Mar 1 2013,7:00 pm,Houston Rockets,118,Orlando Magic,110,Box Score,,
Fri Mar 1 2013,7:00 pm,Atlanta Hawks,87,Phoenix Suns,92,Box Score,,
Fri Mar 1 2013,7:30 pm,Sacramento Kings,102,San Antonio Spurs,130,Box Score,,
Fri Mar 1 2013,7:00 pm,Indiana Pacers,93,Toronto Raptors,81,Box Score,,
Fri Mar 1 2013,7:00 pm,Charlotte Bobcats,68,Utah Jazz,98,Box Score,,
Fri Mar 1 2013,7:00 pm,New York Knicks,96,Washington Wizards,88,Box Score,,
Sat Mar 2 2013,7:00 pm,Brooklyn Nets,85,Chicago Bulls,96,Box Score,,
Sat Mar 2 2013,7:30 pm,Toronto Raptors,114,Milwaukee Bucks,122,Box Score,OT,
Sat Mar 2 2013,7:00 pm,Golden State Warriors,97,Philadelphia 76ers,104,Box Score,,
Sat Mar 2 2013,7:00 pm,Minnesota Timberwolves,94,Portland Trail Blazers,109,Box Score,,
Sun Mar 3 2013,6:00 pm,Dallas Mavericks,103,Houston Rockets,136,Box Score,,
Sun Mar 3 2013,8:00 pm,Chicago Bulls,92,Indiana Pacers,97,Box Score,,
Sun Mar 3 2013,12:30 pm,Oklahoma City Thunder,108,Los Angeles Clippers,104,Box Score,,
Sun Mar 3 2013,6:30 pm,Atlanta Hawks,98,Los Angeles Lakers,99,Box Score,,
Sun Mar 3 2013,1:00 pm,Miami Heat,99,New York Knicks,93,Box Score,,
Sun Mar 3 2013,6:00 pm,Memphis Grizzlies,108,Orlando Magic,82,Box Score,,
Sun Mar 3 2013,3:00 pm,Charlotte Bobcats,83,Sacramento Kings,119,Box Score,,
Sun Mar 3 2013,6:00 pm,Detroit Pistons,75,San Antonio Spurs,114,Box Score,,
Sun Mar 3 2013,6:00 pm,Philadelphia 76ers,87,Washington Wizards,90,Box Score,,
Mon Mar 4 2013,7:00 pm,New York Knicks,102,Cleveland Cavaliers,97,Box Score,,
Mon Mar 4 2013,7:00 pm,Atlanta Hawks,88,Denver Nuggets,104,Box Score,,
Mon Mar 4 2013,7:30 pm,Toronto Raptors,118,Golden State Warriors,125,Box Score,,
Mon Mar 4 2013,7:00 pm,Utah Jazz,108,Milwaukee Bucks,109,Box Score,OT,
Mon Mar 4 2013,7:00 pm,Miami Heat,97,Minnesota Timberwolves,81,Box Score,,
Mon Mar 4 2013,7:00 pm,Orlando Magic,105,New Orleans Hornets,102,Box Score,,
Mon Mar 4 2013,7:00 pm,Charlotte Bobcats,105,Portland Trail Blazers,122,Box Score,,
Tue Mar 5 2013,8:30 pm,Los Angeles Lakers,105,Oklahoma City Thunder,122,Box Score,,
Tue Mar 5 2013,7:00 pm,Boston Celtics,109,Philadelphia 76ers,101,Box Score,,
Tue Mar 5 2013,7:00 pm,Denver Nuggets,120,Sacramento Kings,113,Box Score,,
Wed Mar 6 2013,7:30 pm,Philadelphia 76ers,96,Atlanta Hawks,107,Box Score,,
Wed Mar 6 2013,7:00 pm,Brooklyn Nets,99,Charlotte Bobcats,78,Box Score,,
Wed Mar 6 2013,7:00 pm,Utah Jazz,101,Cleveland Cavaliers,104,Box Score,,
Wed Mar 6 2013,7:30 pm,Houston Rockets,108,Dallas Mavericks,112,Box Score,,
Wed Mar 6 2013,7:30 pm,New York Knicks,87,Detroit Pistons,77,Box Score,,
Wed Mar 6 2013,7:30 pm,Sacramento Kings,83,Golden State Warriors,87,Box Score,,
Wed Mar 6 2013,7:00 pm,Boston Celtics,83,Indiana Pacers,81,Box Score,,
Wed Mar 6 2013,7:30 pm,Milwaukee Bucks,101,Los Angeles Clippers,117,Box Score,,
Wed Mar 6 2013,7:00 pm,Portland Trail Blazers,85,Memphis Grizzlies,91,Box Score,,
Wed Mar 6 2013,7:30 pm,Orlando Magic,96,Miami Heat,97,Box Score,,
Wed Mar 6 2013,7:00 pm,Washington Wizards,82,Minnesota Timberwolves,87,Box Score,,
Wed Mar 6 2013,7:00 pm,Los Angeles Lakers,108,New Orleans Hornets,102,Box Score,,
Wed Mar 6 2013,7:00 pm,Toronto Raptors,98,Phoenix Suns,71,Box Score,,
Wed Mar 6 2013,8:00 pm,Chicago Bulls,83,San Antonio Spurs,101,Box Score,,
Thu Mar 7 2013,8:30 pm,Los Angeles Clippers,92,Denver Nuggets,107,Box Score,,
Thu Mar 7 2013,8:00 pm,Oklahoma City Thunder,95,New York Knicks,94,Box Score,,
Fri Mar 8 2013,8:00 pm,Atlanta Hawks,102,Boston Celtics,107,Box Score,OT,
Fri Mar 8 2013,7:30 pm,Washington Wizards,78,Brooklyn Nets,95,Box Score,,
Fri Mar 8 2013,7:00 pm,Oklahoma City Thunder,116,Charlotte Bobcats,94,Box Score,,
Fri Mar 8 2013,7:00 pm,Utah Jazz,88,Chicago Bulls,89,Box Score,,
Fri Mar 8 2013,7:30 pm,Memphis Grizzlies,103,Cleveland Cavaliers,92,Box Score,,
Fri Mar 8 2013,7:30 pm,Dallas Mavericks,102,Detroit Pistons,99,Box Score,,
Fri Mar 8 2013,7:30 pm,Houston Rockets,94,Golden State Warriors,88,Box Score,,
Fri Mar 8 2013,7:30 pm,Toronto Raptors,116,Los Angeles Lakers,118,Box Score,OT,
Fri Mar 8 2013,8:00 pm,Philadelphia 76ers,93,Miami Heat,102,Box Score,,
Fri Mar 8 2013,7:00 pm,Indiana Pacers,115,Orlando Magic,86,Box Score,,
Fri Mar 8 2013,7:00 pm,Phoenix Suns,112,Sacramento Kings,121,Box Score,,
Fri Mar 8 2013,7:30 pm,Portland Trail Blazers,136,San Antonio Spurs,106,Box Score,,
Sat Mar 9 2013,7:00 pm,Brooklyn Nets,93,Atlanta Hawks,80,Box Score,,
Sat Mar 9 2013,7:00 pm,Minnesota Timberwolves,88,Denver Nuggets,111,Box Score,,
Sat Mar 9 2013,7:30 pm,Milwaukee Bucks,103,Golden State Warriors,93,Box Score,,
Sat Mar 9 2013,7:00 pm,New Orleans Hornets,85,Memphis Grizzlies,96,Box Score,,
Sat Mar 9 2013,7:30 pm,Utah Jazz,84,New York Knicks,113,Box Score,,
Sat Mar 9 2013,7:00 pm,Houston Rockets,105,Phoenix Suns,107,Box Score,,
Sat Mar 9 2013,8:00 pm,Charlotte Bobcats,87,Washington Wizards,104,Box Score,,
Sun Mar 10 2013,6:30 pm,Detroit Pistons,97,Los Angeles Clippers,129,Box Score,,
Sun Mar 10 2013,12:30 pm,Chicago Bulls,81,Los Angeles Lakers,90,Box Score,,
Sun Mar 10 2013,6:00 pm,Indiana Pacers,91,Miami Heat,105,Box Score,,
Sun Mar 10 2013,6:00 pm,Dallas Mavericks,100,Minnesota Timberwolves,77,Box Score,,
Sun Mar 10 2013,6:00 pm,Portland Trail Blazers,96,New Orleans Hornets,98,Box Score,,
Sun Mar 10 2013,12:00 pm,Boston Celtics,79,Oklahoma City Thunder,91,Box Score,,
Sun Mar 10 2013,6:00 pm,Philadelphia 76ers,91,Orlando Magic,99,Box Score,,
Sun Mar 10 2013,6:00 pm,Milwaukee Bucks,115,Sacramento Kings,113,Box Score,,
Sun Mar 10 2013,6:00 pm,Cleveland Cavaliers,96,Toronto Raptors,100,Box Score,,
Mon Mar 11 2013,7:30 pm,New York Knicks,63,Golden State Warriors,92,Box Score,,
Mon Mar 11 2013,7:00 pm,Brooklyn Nets,97,Philadelphia 76ers,106,Box Score,,
Mon Mar 11 2013,7:00 pm,Denver Nuggets,108,Phoenix Suns,93,Box Score,,
Mon Mar 11 2013,7:30 pm,Oklahoma City Thunder,93,San Antonio Spurs,105,Box Score,,
Mon Mar 11 2013,7:00 pm,Detroit Pistons,90,Utah Jazz,103,Box Score,,
Tue Mar 12 2013,7:30 pm,New Orleans Hornets,98,Brooklyn Nets,108,Box Score,,
Tue Mar 12 2013,7:00 pm,Boston Celtics,74,Charlotte Bobcats,100,Box Score,,
Tue Mar 12 2013,7:00 pm,Washington Wizards,90,Cleveland Cavaliers,95,Box Score,,
Tue Mar 12 2013,7:30 pm,Atlanta Hawks,81,Miami Heat,98,Box Score,,
Tue Mar 12 2013,7:00 pm,Dallas Mavericks,115,Milwaukee Bucks,108,Box Score,,
Tue Mar 12 2013,7:00 pm,San Antonio Spurs,83,Minnesota Timberwolves,107,Box Score,,
Tue Mar 12 2013,7:00 pm,Los Angeles Lakers,106,Orlando Magic,97,Box Score,,
Tue Mar 12 2013,7:00 pm,Memphis Grizzlies,102,Portland Trail Blazers,97,Box Score,,
Wed Mar 13 2013,7:30 pm,Los Angeles Lakers,92,Atlanta Hawks,96,Box Score,,
Wed Mar 13 2013,7:30 pm,Toronto Raptors,88,Boston Celtics,112,Box Score,,
Wed Mar 13 2013,8:30 pm,New York Knicks,94,Denver Nuggets,117,Box Score,,
Wed Mar 13 2013,7:30 pm,Detroit Pistons,97,Golden State Warriors,105,Box Score,,
Wed Mar 13 2013,7:00 pm,Phoenix Suns,81,Houston Rockets,111,Box Score,,
Wed Mar 13 2013,7:00 pm,Minnesota Timberwolves,91,Indiana Pacers,107,Box Score,,
Wed Mar 13 2013,7:30 pm,Memphis Grizzlies,96,Los Angeles Clippers,85,Box Score,,
Wed Mar 13 2013,7:00 pm,Utah Jazz,87,Oklahoma City Thunder,110,Box Score,,
Wed Mar 13 2013,7:00 pm,Miami Heat,98,Philadelphia 76ers,94,Box Score,,
Wed Mar 13 2013,7:00 pm,Chicago Bulls,79,Sacramento Kings,121,Box Score,,
Wed Mar 13 2013,7:00 pm,Milwaukee Bucks,93,Washington Wizards,106,Box Score,,
Thu Mar 14 2013,7:30 pm,New York Knicks,90,Portland Trail Blazers,105,Box Score,,
Thu Mar 14 2013,7:00 pm,Dallas Mavericks,91,San Antonio Spurs,92,Box Score,,
Fri Mar 15 2013,7:30 pm,Phoenix Suns,94,Atlanta Hawks,107,Box Score,,
Fri Mar 15 2013,7:30 pm,Cleveland Cavaliers,86,Dallas Mavericks,96,Box Score,,
Fri Mar 15 2013,7:00 pm,Memphis Grizzlies,80,Denver Nuggets,87,Box Score,,
Fri Mar 15 2013,7:30 pm,Chicago Bulls,113,Golden State Warriors,95,Box Score,,
Fri Mar 15 2013,7:00 pm,Minnesota Timberwolves,100,Houston Rockets,108,Box Score,,
Fri Mar 15 2013,7:00 pm,Los Angeles Lakers,99,Indiana Pacers,93,Box Score,,
Fri Mar 15 2013,7:30 pm,Miami Heat,107,Milwaukee Bucks,94,Box Score,,
Fri Mar 15 2013,7:00 pm,Orlando Magic,104,Oklahoma City Thunder,117,Box Score,,
Fri Mar 15 2013,7:00 pm,Charlotte Bobcats,78,Toronto Raptors,92,Box Score,,
Fri Mar 15 2013,7:00 pm,New Orleans Hornets,87,Washington Wizards,96,Box Score,,
Sat Mar 16 2013,7:30 pm,Charlotte Bobcats,88,Boston Celtics,105,Box Score,,
Sat Mar 16 2013,7:30 pm,Indiana Pacers,91,Philadelphia 76ers,98,Box Score,,
Sat Mar 16 2013,7:00 pm,Detroit Pistons,101,Portland Trail Blazers,112,Box Score,,
Sat Mar 16 2013,7:30 pm,Cleveland Cavaliers,113,San Antonio Spurs,119,Box Score,,
Sat Mar 16 2013,8:00 pm,Memphis Grizzlies,84,Utah Jazz,90,Box Score,,
Sat Mar 16 2013,7:00 pm,Phoenix Suns,105,Washington Wizards,127,Box Score,,
Sun Mar 17 2013,8:00 pm,Atlanta Hawks,105,Brooklyn Nets,93,Box Score,,
Sun Mar 17 2013,6:30 pm,Oklahoma City Thunder,107,Dallas Mavericks,101,Box Score,,
Sun Mar 17 2013,6:00 pm,Golden State Warriors,108,Houston Rockets,78,Box Score,,
Sun Mar 17 2013,12:30 pm,New York Knicks,80,Los Angeles Clippers,93,Box Score,,
Sun Mar 17 2013,6:30 pm,Sacramento Kings,102,Los Angeles Lakers,113,Box Score,,
Sun Mar 17 2013,12:00 pm,Orlando Magic,109,Milwaukee Bucks,115,Box Score,,
Sun Mar 17 2013,6:00 pm,New Orleans Hornets,95,Minnesota Timberwolves,97,Box Score,,
Sun Mar 17 2013,1:00 pm,Miami Heat,108,Toronto Raptors,91,Box Score,,
Mon Mar 18 2013,7:30 pm,Dallas Mavericks,127,Atlanta Hawks,113,Box Score,,
Mon Mar 18 2013,8:00 pm,Miami Heat,105,Boston Celtics,103,Box Score,,
Mon Mar 18 2013,7:00 pm,Washington Wizards,114,Charlotte Bobcats,119,Box Score,,
Mon Mar 18 2013,7:00 pm,Denver Nuggets,119,Chicago Bulls,118,Box Score,OT,
Mon Mar 18 2013,7:00 pm,Indiana Pacers,111,Cleveland Cavaliers,90,Box Score,,
Mon Mar 18 2013,7:30 pm,Brooklyn Nets,119,Detroit Pistons,82,Box Score,,
Mon Mar 18 2013,7:00 pm,Minnesota Timberwolves,77,Memphis Grizzlies,92,Box Score,,
Mon Mar 18 2013,7:00 pm,Golden State Warriors,93,New Orleans Hornets,72,Box Score,,
Mon Mar 18 2013,7:00 pm,Portland Trail Blazers,100,Philadelphia 76ers,101,Box Score,,
Mon Mar 18 2013,7:00 pm,Los Angeles Lakers,76,Phoenix Suns,99,Box Score,,
Mon Mar 18 2013,8:30 pm,New York Knicks,90,Utah Jazz,83,Box Score,,
Tue Mar 19 2013,7:00 pm,Orlando Magic,73,Indiana Pacers,95,Box Score,,
Tue Mar 19 2013,7:00 pm,Portland Trail Blazers,95,Milwaukee Bucks,102,Box Score,,
Tue Mar 19 2013,7:00 pm,Denver Nuggets,114,Oklahoma City Thunder,104,Box Score,,
Tue Mar 19 2013,7:00 pm,Los Angeles Clippers,101,Sacramento Kings,116,Box Score,,
Wed Mar 20 2013,7:30 pm,Milwaukee Bucks,90,Atlanta Hawks,98,Box Score,,
Wed Mar 20 2013,7:00 pm,Toronto Raptors,101,Charlotte Bobcats,107,Box Score,,
Wed Mar 20 2013,7:00 pm,Miami Heat,98,Cleveland Cavaliers,95,Box Score,,
Wed Mar 20 2013,7:00 pm,Brooklyn Nets,113,Dallas Mavericks,96,Box Score,,
Wed Mar 20 2013,7:00 pm,Utah Jazz,93,Houston Rockets,100,Box Score,,
Wed Mar 20 2013,7:30 pm,Philadelphia 76ers,72,Los Angeles Clippers,101,Box Score,,
Wed Mar 20 2013,7:00 pm,Oklahoma City Thunder,89,Memphis Grizzlies,90,Box Score,OT,
Wed Mar 20 2013,7:00 pm,Boston Celtics,86,New Orleans Hornets,87,Box Score,,
Wed Mar 20 2013,7:30 pm,Orlando Magic,94,New York Knicks,106,Box Score,,
