,1,2,3,4,5,6,7,8,9
75,7:00p,Toronto Raptors,84,Indiana Pacers,91,Box Score,,"13,316",
76,8:00p,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,"13,677",
77,8:00p,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,"18,209",
78,7:00p,Boston Celtics,91,Orlando Magic,89,Box Score,,"17,555",
79,7:00p,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,"15,219",
80,9:00p,Denver Nuggets,103,Phoenix Suns,114,Box Score,,"15,145",
81,10:00p,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,"17,627",
82,8:30p,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,"18,581",
83,7:00p,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,"17,215",
84,7:30p,Orlando Magic,94,Atlanta Hawks,104,Box Score,,"15,189",
85,7:30p,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,"17,732",
86,7:30p,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,"20,562",
87,8:00p,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,"18,108",
88,8:00p,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,"16,989",
89,7:30p,Boston Celtics,111,Miami Heat,110,Box Score,,"19,710",
90,8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,"16,448",
91,10:00p,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,"15,482",
92,7:00p,Utah Jazz,91,Toronto Raptors,115,Box Score,,"17,211",
93,9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,"18,997",
94,12:00a,San Antonio Spurs,120,New York Knicks,89,Box Score,,"19,812",
95,7:00p,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,"18,203",
96,8:00p,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,"13,154",
97,7:30p,Orlando Magic,105,Boston Celtics,120,Box Score,,"18,624",
98,7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,"13,996",
99,8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,"21,778",
100,8:00p,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,"18,134",
101,7:00p,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,"13,130",
102,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,"19,060",
103,7:00p,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,"12,424",
104,10:00p,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,"18,834",
105,9:00p,Denver Nuggets,100,Utah Jazz,81,Box Score,,"16,866",
106,8:30p,Washington Wizards,95,Dallas Mavericks,105,Box Score,,"19,627",
107,10:30p,Detroit Pistons,95,Golden State Warriors,113,Box Score,,"19,596",
108,10:30p,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,"18,426",
109,7:30p,Milwaukee Bucks,95,Miami Heat,118,Box Score,,"19,600",
110,8:00p,New York Knicks,95,Atlanta Hawks,91,Box Score,,"15,057",
