user_type,avg_interval_time,active_days,post_num,similarity_degree
1,175,5,6,1
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,2,2,0
0,66455,4,4,0
1,10339,3,5,1
0,-1,3,3,0
1,-1,3,3,0.8
0,-1,1,1,0
0,-1,1,1,0
1,62,1,2,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,6,6,0
0,-1,1,1,0
0,-1,2,2,0
0,-1,2,2,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,1404,8,9,0
0,-1,2,2,0
1,90,1,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,5725.5,2,4,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,4,4,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,7,7,0
0,-1,1,1,0
0,-1,2,2,0
1,32,10,12,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,2,2,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,2,2,0
0,336,2,3,0
0,54451,10,11,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
1,1065,3,4,1
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
1,23,4,5,0
0,45973,3,3,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,2,2,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,2,2,0
0,-1,3,3,0
0,-1,1,1,0
0,-1,1,1,0
0,588,3,4,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,14578,1,2,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
1,25,2,3,0
0,-1,1,1,0
0,-1,1,1,0
0,-1,1,1,0
0,20747,5,6,0
0,-1,2,2,0
0,-1,1,1,0
0,-1,1,1,0
0,24963,6,7,0
0,-1,1,1,0
0,-1,2,2,0
0,838,1,2,0
0,-1,1,1,0
